,内定予想,退職予想,個人ｺｰﾄﾞ,氏名,分類,区分,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度,内定有無,No.
10,非内定,在職,,,新卒,,２０〜２５才,1,72,65,50,36,42,48,51,38,27,69,54,56,50,34,46,62,44,52,55,44,50,47,61,46,44,59,43,51,41,46,47,47,48,42,49,42,60,60,60,60,40,60,80,40,80,60,20,80,80,60,40,60,10,3,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,43,23,28,50,46,27,47,46,48,56,50,0,,
11,内定,在職,,,新卒,,２０〜２５才,1,62,45,59,58,54,48,40,53,45,53,62,40,40,38,61,66,57,61,46,44,59,50,45,50,51,62,55,48,57,57,50,64,50,49,56,66,80,100,80,100,80,60,100,100,100,80,100,100,80,100,60,100,-2,2,真面目であるが、イキイキしたところがあまりみられず、どちらかといえば内向的な人だといえる。大勢の仲間と騒ぐよりは、数少ない友人との時間を大切にするほうだといえる。物事の考え方や発想は、大変素晴らしいものがあるのに、積極的に外に公表しようとする気持ちがないのか、それとも自分に自信が持てないためか、常に控え目に小さく表現しようとする。そのうえ、神経が細かく過敏な性格のため、人前では緊張しがちで、気持ちに余裕がなくなると不安定な行動をとることもある。また、失敗の不安を取り除くために綿密な計画をたてようとし、それが自分の能力以上のものとなると、気負いばかりが先走りする状態になってしまう。また、積極的に交友関係を持とうとはしないが、気の許せる友人とは深い付き合いを形成している。自分も含めた物事の見方は、客観的にキチンと把握していて、その理解のしかたに間違いは少ない。人情的に深入りしないため冷淡な印象も与えるが、自分をよく内省していて、豊かな内面性の持ち主といえる。,49,50,55,46,49,55,51,53,47,49,44,0,,
12,非内定,在職,,,新卒,,２０〜２５才,1,87,68,63,26,50,53,58,41,37,90,62,47,53,57,40,53,37,40,61,41,62,43,53,58,39,59,39,41,36,41,55,39,50,49,52,33,60,100,80,100,80,80,80,40,100,60,40,80,60,40,60,60,6,2,過信せず、見通しがつくまで動かない慎重さが本質といえる。思いやりがあり、自分を抑える良さもあるが、問題が起こると自罰的傾向をとり、クヨクヨと取り越し苦労をする傾向がある。どちらかといえば、気弱で引っ込み思案の人である。神経が細かく過敏な性格で、人前にでると緊張し堅くなり、余裕がなくなると多少不安定な行動をとる可能性もある。できるだけ目立たず、隅のほうにいたいという感じで、自信をもった行動力が不足している。一般的には真面目で、一途な人に多くみられるが、ときに、その真面目さが、柔軟性に欠けていると人から見られる。そして、他人との交友関係なども進んでもつほうではなく、関心分野以外のことになると、かかわらないように殻に閉じこもろうとする。よくいえば、自分の内面的な世界の中で審美的な生き方をしているともとれる。ものの見方は客観的で的確に把握しようとする。人情に溺れることなく一歩距離をおいて接するため、冷たい印象を与えることもあるが自分自身については深く内省している。,61,28,28,56,53,29,38,42,47,56,47,0,,
13,非内定,退職,,,新卒,,２０〜２５才,0,62,75,33,30,63,53,66,41,32,57,83,47,67,53,40,50,21,48,55,11,41,47,23,76,33,70,60,48,45,38,61,68,34,39,45,33,100,100,100,100,80,100,100,40,100,60,20,80,20,20,20,60,-5,2,状況を鵜呑みにせず、見通しがつくまで容易に行動を起さない慎重さがある。思いやりがあり、自分を抑える良さがあるが、自分に自信がないためか、なにか問題が起こると自分に責任を感じすぎて、取り越し苦労をしてしまう。気弱で引っ込み思案であり、あまり快活な面がみられない。また、柔軟性やおおらかさに欠け、人前では緊張して堅くなりがちで、余裕がなくなると、多少不安定な行動をとる。こうしたことは、神経が細かく過敏なためにおこる。一般的に真面目で一途な人に、このような特性が多くみられる。ときに、漂々とした仙人のような生活ぶりで、空想癖があったりもする。周囲の雑音には全く関心をしめさず、自己の世界に内閉していて、審美的な生き方をしている。また、物事をあるがままに客観的に見ようとする傾向より、主観的に判断することが多い。それなりの判断力をもち、自分で確かに間違いないと思っていても、あくまでも自己の主張をつらぬくというより、その時の雰囲気やその場の状況など環境によって左右される。,56,32,30,54,51,24,47,35,36,65,27,0,,
14,内定,在職,,,新卒,,２０〜２５才,0,67,65,47,46,42,53,48,50,50,78,42,36,67,53,40,41,49,52,66,50,53,50,53,50,54,44,60,44,41,50,52,73,38,56,56,61,60,100,100,100,80,100,100,60,80,60,60,100,100,100,100,60,7,2,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,49,47,38,56,51,45,46,52,52,46,51,0,,
15,内定,在職,,,新卒,,２０〜２５才,0,39,54,50,49,38,63,55,50,37,61,49,43,60,42,46,41,52,44,66,63,44,43,53,50,50,38,71,44,54,46,52,68,57,56,49,54,60,100,80,100,80,100,100,100,60,80,80,80,80,40,40,60,13,1,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,59,55,54,65,54,54,45,58,57,51,59,0,,
16,内定,在職,,,新卒,,２０〜２５才,0,46,58,55,49,47,56,48,50,45,78,51,47,43,57,35,62,46,44,61,50,50,40,53,50,54,51,60,44,50,50,58,54,48,59,49,52,80,100,80,80,60,80,80,60,60,60,40,80,60,60,40,40,5,2,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,57,43,40,63,47,50,43,52,52,48,50,0,,
17,非内定,在職,,,新卒,,２０〜２５才,0,67,61,76,49,29,59,44,61,37,73,51,52,40,42,49,53,40,35,46,47,59,28,53,39,65,50,71,30,47,60,47,68,42,66,52,47,100,100,80,100,100,100,100,100,80,60,60,80,80,100,60,60,2,3,自分と違った価値観や周囲の雑音にはあまり興味をしめさない。そして、自らが進んで他人との接触を好むというタイプではないが、いったん付き合うとその交友関係を大切にする。それは、価値観の違う大勢の人といるよりも、一人でいる、または気の合った仲間と一緒にいるほうに喜びを感じるということである。どちらかといえば、審美的な生き方をしていて、豊かな内面性をそなえ、自分自身をよく内省している人であることがわかる。そして、状況をあるがままに客観的にとらえ、じっくりと経過と結果の両方向から考える傾向が強く、物事をキチンと把握することができる。そのためか最初のうちは人に冷たいとか、わかりづらいという印象を与えてしまうことがあるが、付き合ってみると思いやりがあり、心やさしい人柄であることがわかる。また、軽はずみな行動は少なく、見通しがつくまで動かない慎重さや手堅さは評価できる。しかし考えすぎるため、大胆な発想をしたり突発的な行動をとることがないので、おもしろさには欠けてしまう。,42,44,51,48,36,53,31,56,47,43,52,0,,
18,内定,退職,,,新卒,,２０〜２５才,0,83,35,42,64,38,69,44,44,45,50,39,50,43,38,49,58,66,70,71,56,56,55,53,50,50,41,64,62,60,57,58,68,65,46,56,66,80,100,100,100,60,100,100,80,80,80,80,60,80,80,40,40,15,1,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,68,66,63,57,67,68,62,61,66,50,59,0,,
19,非内定,在職,,,新卒,,２０〜２５才,0,58,41,59,54,38,53,51,48,53,65,42,40,53,42,46,58,55,52,71,53,56,52,45,52,47,47,49,51,47,57,64,57,48,49,49,57,100,100,80,100,100,80,80,60,80,80,60,80,60,80,20,80,6,2,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,53,48,48,49,55,56,51,54,57,50,52,0,,
20,非内定,在職,,,新卒,,２０〜２５才,1,22,58,50,43,42,50,44,41,50,53,39,40,60,42,55,50,50,48,46,56,56,50,57,50,51,50,49,44,45,50,50,47,53,52,52,47,80,80,60,60,80,60,60,40,80,60,80,80,60,80,40,60,2,3,周囲の雑音をあまり気にせず、ときに時間を忘れたように何かを空想しているような傾向が見られる。内面的な世界の中で自己表現をすることで、喜びを感じているようである。そして、自らが進んで行動することは少ないものの、情報の収集のためのアンテナは用意している。物事の把握のしかたは客観的であり、結果と経過の両方を大切にする。自分自身についても深く内省していて、客体化した態度をとろうとする。そのためか、人から見ると本音がわかりづらいという印象があり、多少、冷たい感じを受けることがあるが、実のところ、思いやりや自分の感情を抑える良さがあり、豊かな内面性をそなえている。また、明確な見通しがつくまで動かないという慎重なところもある。しかし、その慎重性は、自分の理想があるのに対して、無理のないところで妥協してしまうこともあり、善し悪しというところである。大きな失敗をしないことはひとつの取り柄ではあるが、あれこれと考えすぎる前に、もう少し思いきった行動をとるような姿勢がほしい。,44,36,33,49,45,39,46,52,52,49,54,0,,
21,内定,退職,,,新卒,,２０〜２５才,1,81,41,55,61,54,59,51,53,53,61,46,47,33,34,49,78,66,70,51,50,62,59,49,50,57,44,68,58,54,65,55,61,57,56,60,72,100,100,100,100,80,100,100,100,80,100,80,100,100,100,60,100,3,0,行動的であり、思い付いたことは素早く実行する。環境への適応力があり、状況の変化にもたやすくついていける。やや思索性に欠けるきらいがあるが、実際的な活動には向いている。行動的ではあるが情緒的にも安定しており、一定のリズムをもって生活をしている。また、手掛けはじめたことを途中で放り出すような気分屋的な所はあまり見られない。やや感覚的といえるが、発想も思い付きばかりではない。筋道をたてた理詰めな考え方をすることができる。一方では、過信せず見通しがつくまで動かないという慎重さも本質のひとつである。思いやりがあり自分を抑えるよさがあるが、問題が起こるとあっさりと流してしまうときと、責任を一人で感じ、いつまでもとりこし苦労をしてしまう気弱な面とが交互にあらわれたりする。行動的なときはよいが、慎重すぎると自分のできることだけを内々に小さく表現しようとする傾向があり、失敗を恐れるあまり果敢にうってでることができない。しかし、病的な暗さはなく、手堅さは評価することができる。,63,69,67,61,66,73,58,59,57,44,51,0,,
22,非内定,退職,,,新卒,,２０〜２５才,1,79,51,42,54,42,59,55,53,58,57,46,50,40,30,61,53,55,61,55,53,62,52,41,58,47,50,60,44,41,57,44,47,65,46,60,64,80,80,80,80,100,80,100,40,40,20,40,80,80,60,40,60,4,1,何事に対しても努力を重ねて目標に向かっていく姿勢があり、この人なりのこだわりをもって取り組んでいる。一時に没頭すると他には目もくれない徹底性がある。几帳面だが、頑固で堅物との印象がある。そして、世間のきまりや常識を重んじるため、物事の判断は通俗的になりがちで、柔軟さに欠けるきらいがある。自信に満ちた態度のため、その結論も他人には押し付けがましいと感じさせるものになる可能性がある。勝気であるとはいえるが、むき出しの競争心というのではない。自分が目立つよりも、他人には寛容でいたい、人とは協調していきたいというやさしさがある。しかし、それは煩わしい人間関係にならないための対外的な姿勢にすぎず、自己防衛手段のひとつといえる。内面的には気位いが高く、周囲からの評価を気にかけている。自分が評価されたりすると最高の満足感をおぼえるようなところがあり、そのため、おだてに弱く、ちょっと持ち上げられるとその気になってしまう。プライドだけは傷つかぬよう細心の注意をはらっている。,68,56,57,56,66,60,52,59,57,49,53,0,,
