No.,在籍状況(入社3年以内),世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
16,在職,２０〜２５才,女,61,48,38,54,42,63,55,50,37,65,54,56,50,38,52,53,46,44,61,44,50,43,53,52,50,50,71,41,50,60,50,54,57,39,45,61,80,80,100,80,60,80,60,60,80,80,40,60,60,80,20,40,11,Ｃ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,56,49,56,54,57,52,48,58,54,56,52,0
17,在職,２０〜２５才,女,91,48,47,51,59,42,28,61,50,47,51,52,40,42,40,70,52,48,36,56,59,52,45,43,59,50,60,41,68,57,28,57,53,52,56,54,60,80,60,40,60,80,100,40,80,60,60,80,80,40,40,60,-8,Ｄ,積極性があり、外向的な性格の人。気長に単調な作業を続けていくことは苦手である。難問にぶつかったりすると、それまでのやり方をすぐにあきらめ、次の方法を検討し対処しようとする。わりと負けず嫌いで、ライバルがいたりすると余計に頑張ってしまう傾向がある。規則や秩序など、世間の常識や社会通念はそれほど執着しているわけではなく、発想も固定的なものばかりではない。ときに突発的であり、非常にユニークな発言をし、周囲を驚かせることがある。また、思い付きは早いが、それを実行に移すとなるとテキパキと身軽に動きまわるというほどではない。そして、気分屋なところがあり、何事に対しても、その日の気持ちや感情によっていろいろと左右される。調子に乗れば何事も迅速であり、大勢の前でも自分の意見を堂々と発言したりするなど、気力、体力ともに満ちあふれて充実しているが、気が向かないと何も行動を起こさず、一人ちんまりしていることがある。人間的には温かく人なつこい性格で、皆から親しまれる人柄である。,26,45,47,36,29,42,49,53,46,45,49,0
18,在職,２０〜２５才,女,100,45,59,58,50,63,24,59,37,57,46,40,47,26,49,87,66,79,61,59,72,70,57,50,57,51,68,65,71,65,35,68,79,52,72,75,80,100,100,80,60,100,100,40,80,60,60,60,60,60,20,60,12,Ａ,どちらかといえば、性格的な派手さはなく地味なほうだといえる。一度はじめたことは時間がかかっても途中で投げ出すことはなく、持続させていくことができる。努力を信条としていて、自分が納得いくまで取り組まないと気がすまない性分であり、何事も徹底的に追求しようとする。そして、自分なりに確たる信念や社会通念を持っているのだが、規則や秩序に対して頑固にこだわるというほどではない。発想は堅苦しいものばかりではなく、ユニークさも持ちあわせていて、独自の価値観のもとで自発的、自主的な組立をして考え判断する。また、思い立ったらすぐ実行に移すという身軽さより、物事は自分の納得がいくまでじっくりと考えてから行動する。決して自己の世界に閉じこもり暗いという印象はなく、社会性も持ちあわせている。交友関係もほどほどにあり、考え方も現実的で自分なりに社会的アンテナも張っている。自分を深く内省していて、豊かな内面性をもっている。そして、客観的なものの見方ができ、正確に状況を把握しようとする。,61,74,73,63,60,84,62,66,64,46,58,0
19,在職,２０〜２５才,男,42,71,42,33,47,30,40,65,61,38,59,50,50,26,52,53,44,35,21,41,56,25,45,39,59,57,55,37,54,46,25,43,34,56,45,44,40,80,20,60,80,60,20,20,20,20,20,80,60,40,20,20,-20,Ｅ,自己の世界を繰りひろげることに強い関心があり、周囲のことに対してあまり興味がなくなってしまうといったことがある。交友関係も自ら進んで持とうとはしない。どちらかといえば、行動的というよりも、一人静かに落ち着いているほうを好んでいるのだが、にぎやかな場所や人混みに拒絶的というほどでもない。タテマエか本音かがハッキリと区別がつかないため、少しわかりづらいという印象を他人に与えることもあるが、自己の内面のなかで美的な生き方をしているといえる。物事の判断は客観的にみようとする傾向よりも、主観的に判断することの方が多いのだが、それは、場の雰囲気や感情に左右されるような人間臭さともいえる。また、他人の言葉や行動などを気にすることがあり、自分と他人を比較してしまう傾向がある。一方では、積極的に物事に取り組み、たとえ困難に遭遇しても他に働きかけ、解決しようとする面もある。精神的には独立していて、他に依存することを嫌う。また、他人からの押し付けがましさは、あまり望んでいない。,23,26,29,30,17,29,36,45,34,43,43,0
20,在職,２０〜２５才,男,94,78,38,20,59,33,66,48,58,53,80,56,47,46,40,53,36,44,32,24,34,47,32,69,39,67,39,54,47,46,52,77,19,39,41,30,20,80,20,80,20,60,60,20,60,20,60,20,20,20,60,60,-19,Ｅ,大勢の人が集まるところでは、自分に自信がないせいか、快活に振る舞うことを苦手とする。神経が細かく過敏な性格で、人前では緊張して堅くなりがちである。また、余裕がなくなると不安定な行動をとる可能性がある。一般的には真面目で一途な人に多いが、斬新さや柔軟性に欠け、おおらかさが不足している。常に失敗に対する不安感があるため、これを克服しようとして自分の能力以上に計画をたて、慢性的なイライラ状態になっている感じである。一度、じっくりと自分と向かい合って、その原因をつきとめないとチャランポランさはなくならない。また、自分の殻にこもり、外界に興味をあまりしめさない。他人との接触も煩わしく感じ、交友関係も進んで持とうとしない傾向がある。それよりも空想にでもふけながら、自己の内面世界で遊んでいるほうが幸せを感じている。言いかえれば、美的な生き方をしているともいえるが、気負いや劣等感でギクシャクしている。物事を客観的にみようとする傾向はあるが、それさえもつかみどころがない。,36,21,32,32,34,11,45,33,28,58,29,0
21,退職,２０〜２５才,男,54,58,38,46,24,69,48,48,23,69,46,47,53,57,43,50,40,31,76,53,41,36,65,46,54,33,64,25,41,55,50,61,57,56,49,47,60,80,100,100,80,80,60,80,40,60,40,40,40,40,20,60,20,Ｃ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,54,53,50,58,48,49,39,58,59,52,63,0
22,退職,２０〜２５才,女,80,48,42,49,29,78,71,55,61,61,42,52,50,46,46,58,46,44,71,50,50,50,41,69,39,50,45,37,36,46,55,68,65,31,49,54,100,60,100,100,80,80,100,20,80,20,20,60,60,60,20,100,14,Ｃ,コツコツと几帳面な人。生活ぶりもキチンとしていて、丹念な仕事ぶりである。スタ−ト・ダッシュはそれほどではないが、息切れがせずいつまでも走りつづける長距離ランナ−型でもある。徹底性もみられ、それがときにはしつこさに映じることもある。世間のきまりや常識を大切にして、ものごとの判断は杓子定規になりがちである。堅物との印象があり、その意見やアイデアは手堅いものの斬新さや柔軟さに欠けるきらいがある。大きな失敗をしないことがこの人の取り柄といえる。,63,40,40,54,55,46,48,55,63,57,55,0
23,退職,２０〜２５才,男,92,68,76,46,15,75,48,44,41,78,24,43,50,46,46,58,55,52,82,63,59,52,61,32,51,44,52,58,50,65,71,68,79,49,56,54,100,100,100,100,80,100,100,60,80,100,60,100,80,100,20,40,24,Ｂ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,67,55,50,65,60,59,43,66,73,47,68,0
24,在職,２０〜２５才,男,74,41,50,58,54,36,40,48,53,42,51,36,50,38,46,78,62,61,36,50,62,47,36,50,54,47,75,37,68,57,28,54,50,52,56,72,100,100,80,100,100,100,100,40,100,20,60,80,40,60,20,40,-8,Ｄ,身が軽く思いたったことを素早く実行に移すことができる。行動はテキパキしていて、体を動かして物事を解決していく人である。また、環境への適応力があり、状況の変化にたやすくついていけ、実際的な職務遂行に適材である。多少、思索性に欠けるのがやや難。行動的であるが情緒的にもわりあい安定しており、そうリズムが揺れる生活ぶりではない。ときには手がけた仕事を途中で放りだすといった気分屋的な所があるが、現実的発想もできる。感覚的な部分もあるものの、キチンと理詰めな考え方もできる。,38,45,46,37,42,50,50,58,46,47,47,0
25,退職,２０〜２５才,男,46,65,50,39,59,48,24,68,61,53,37,36,50,38,55,58,62,52,46,70,62,67,49,36,65,50,68,65,57,60,31,50,61,59,64,57,100,100,80,100,80,100,100,100,100,60,100,60,80,80,20,40,-2,Ｃ,自分に対する周囲の評判や他人の行動などを気にするところがある。特に親しい関係ではなく、ただの仲間関係などの間柄で、いい加減な人を見たりするとすごく腹が立ち口うるさくなったりするタイプである。また、困難に遭遇したりして、状況を打開しなければならないときは、積極的に外にうって出るといった外向的なところもある。しかし、うまくことが運ばないときや失敗をしたときなどは、責任を転嫁するという傾向もみられる。そして、周囲が自分を高く評価していると感じると有頂天になったりもする。おだてに乗せられやすく、ちょっと褒められるとその気になってしまうような可愛いところもある。また、積極性とは逆に、その日の気分や気持ちによって内向的になったり、劣等感が強くなったりもする。プライドを傷つけられないよう細心の注意をはらっているが、相手は自分をそれなりに評価しているとわかるとあっさり割り切ったりする。この人の表現の方法に厳しさはあるが、独自の価値観を大切にし、豊かな内面性をもっている。,35,65,60,44,36,59,53,59,56,37,54,0
