No.,内定有無,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度
319,0,２０〜２５才,男,81,45,42,58,42,63,58,48,41,53,46,56,57,30,43,46,62,61,55,50,59,55,53,50,51,38,49,54,45,36,58,47,76,52,56,61,80,80,100,100,80,80,100,60,100,60,80,60,100,40,80,80,18,Ａ,几帳面であり手掛けたことはとことん追求する徹底性もみられる。しかし、几帳面といっても、細かいことまでこだわるというより全体のまとまりを見たり、また、整理整頓は好ましいことだと思っていても、いつもきれいでなければ気がすまないというほどではない。物事の判断のしかたは、堅実というイメージであるが、ときに突発的な発想をしたりもする。行動力もあり、身軽で多少の困難にも粘り強い姿勢で対応することができる。ただ、規則や秩序を大切にしている常識家であり、決定事項などは必ず守るといった社会通念が強いあまり、お堅い人との印象を与えることもある。新しい環境などには比較的とけこむのが早く適応力がある。初対面では馴染みにくそうに思われることもあるが、本人は誰とでも気軽に話すことができ、すぐに親しくなれるような庶民的な雰囲気がある。精神的にもわりと安定していて、常に自分のリズムを一定に保つことができる。世話好きで親切な側面もあり、集団のリーダー格として活躍できる可能性をもっている。,70,58,51,68,77,60,56,55,62,50,59,0
320,0,２０〜２５才,男,41,48,71,54,54,72,51,50,32,69,57,52,57,38,52,41,55,70,61,53,72,63,57,46,54,47,64,70,47,57,55,64,76,56,72,64,100,100,100,100,100,100,100,60,100,60,60,80,80,60,80,60,15,Ａ,どちらかといえば、性格的な派手さはなく地味なほうだといえる。一度はじめたことは時間がかかっても途中で投げ出すことはなく、持続させていくことができる。努力を信条としていて、自分が納得いくまで取り組まないと気がすまない性分であり、何事も徹底的に追求しようとする。そして、自分なりに確たる信念や社会通念を持っているのだが、規則や秩序に対して頑固にこだわるというほどではない。発想は堅苦しいものばかりではなく、ユニークさも持ちあわせていて、独自の価値観のもとで自発的、自主的な組立をして考え判断する。また、思い立ったらすぐ実行に移すという身軽さより、物事は自分の納得がいくまでじっくりと考えてから行動する。決して自己の世界に閉じこもり暗いという印象はなく、社会性も持ちあわせている。交友関係もほどほどにあり、考え方も現実的で自分なりに社会的アンテナも張っている。自分を深く内省していて、豊かな内面性をもっている。そして、客観的なものの見方ができ、正確に状況を把握しようとする。,69,72,62,71,70,70,56,60,61,46,57,0
321,0,２０〜２５才,男,49,54,67,58,59,48,51,44,41,47,49,43,47,26,49,66,49,48,51,59,59,52,49,65,33,54,49,58,57,46,35,31,68,42,60,44,80,100,60,60,20,80,20,100,20,80,60,100,80,100,20,20,4,Ｃ,自己の世界を大切にし、対人関係なども自分から進んで外に出ていくことは少ない。はじめて会った人には、人見知りをするほうで、他人との間に距離を置こうとする。しかし、限られた友人とは、深い交友関係を形成している。発想は着実でありながら、時として非常におもしろい考え方をすることがある。ある程度の社会性をそなえ、周囲に対する配慮もみられる。自分自身についても深く内省していて、内面性は豊かで充実している。どちらかというと身軽に動き回るよりも、物事を落ち着いて考えてから行動するが、見方によっては、しりの重たさを感じさせることもある。新しい環境に馴染むには多少時間がかかり、新規にとりかかる事や転地などは不向きと思われる。しかし、ひとたび順応しはじめると、切り換えは遅いほうではない。また、気分屋なところがあり、調子のよい時と落ち込んでいる時の浮き沈みがあり、その時々の感情に起伏がみられる。非常に敏感な部分と鈍感な面の両方を持ち合わせていて、扱いにくい人間にうつることもある。,48,43,43,44,51,43,47,51,53,57,52,0
322,0,２０〜２５才,男,61,48,42,51,63,56,58,50,50,69,71,56,53,50,40,36,46,40,61,31,34,52,27,62,42,70,68,51,68,50,58,68,38,39,38,47,60,100,80,100,60,100,100,60,60,60,60,100,60,40,20,20,-4,Ｃ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,62,43,50,54,55,38,50,45,46,58,32,0
323,0,２０〜２５才,女,80,68,50,39,33,50,51,38,41,73,59,50,37,34,49,83,37,35,55,28,44,36,36,50,47,47,39,33,36,38,47,39,27,42,34,39,60,80,80,60,60,60,40,80,80,60,60,80,80,60,40,60,4,Ｅ,状況を鵜呑みにせず、見通しがつくまで容易に行動を起さない慎重さがある。思いやりがあり、自分を抑える良さがあるが、自分に自信がないためか、なにか問題が起こると自分に責任を感じすぎて、取り越し苦労をしてしまう。気弱で引っ込み思案であり、あまり快活な面がみられない。また、柔軟性やおおらかさに欠け、人前では緊張して堅くなりがちで、余裕がなくなると、多少不安定な行動をとる。こうしたことは、神経が細かく過敏なためにおこる。一般的に真面目で一途な人に、このような特性が多くみられる。ときに、漂々とした仙人のような生活ぶりで、空想癖があったりもする。周囲の雑音には全く関心をしめさず、自己の世界に内閉していて、審美的な生き方をしている。また、物事をあるがままに客観的に見ようとする傾向より、主観的に判断することが多い。それなりの判断力をもち、自分で確かに間違いないと思っていても、あくまでも自己の主張をつらぬくというより、その時の雰囲気やその場の状況など環境によって左右される。,43,14,23,41,34,21,37,39,42,57,42,0
324,0,２０〜２５才,男,61,31,63,71,63,53,48,44,53,38,49,50,53,38,58,46,69,79,46,53,66,73,41,52,42,50,49,73,71,68,41,61,72,42,64,75,80,100,80,60,60,100,100,60,100,100,80,100,100,100,40,60,0,Ｂ,じっくりと考えたり検討したりすることは、嫌いな方ではないが、いざ物事に取り組む時には、考えるよりも先にアクションを起こしていくという行動的なところがある。環境への適応力があり、状況の変化にもたやすく順応していくことができるが、自分をさらけ出してとけ込むというほどではなく、周囲を見渡しながら調子を合わせている程度といえる。本当に自分が信頼して馴染むまでには、多少の時間がかかるといえる。そして、気分に周期性がみられ、調子の良いときと落ち込んでいるときとがある。瞬発力はあるが、長続きがするとまではいえず、いつのまにか放り出しているような気分屋なところもある。また、社会への関心があり、世間に対する配慮もみられる。そして、行動を必要としない場面では、環境をあるがままにとらえようとする傾向が強く、物事をキチンと把握しようとする。そうした時には、人情や状況などに左右されたりする事なく、常に一歩外側から的確に判断し、持続性がともなえば良いリーダー格になりうる可能性がある。,52,60,65,37,62,56,66,59,58,50,50,0
325,0,２０〜２５才,男,86,71,55,36,29,56,71,41,41,73,89,50,53,57,46,46,26,31,61,21,50,36,32,76,28,62,49,30,39,30,61,50,34,31,45,42,80,100,80,80,40,80,40,40,80,40,40,80,60,40,20,80,9,Ｃ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,70,25,31,58,54,32,34,41,37,66,39,0
326,0,２０〜２５才,男,4,58,59,46,54,53,32,50,41,53,57,43,63,46,29,66,52,48,46,44,56,50,36,43,50,50,64,48,51,55,38,57,53,42,52,50,80,100,100,100,80,60,80,80,60,60,80,60,60,60,40,60,0,Ｅ,自分の世界を大事にして、外界のことに興味がうすい。他人と接触することが面倒であり、交友関係なども進んで持とうとはしない。審美的な生きかたをしていて、自分の信じる価値観のなかで生活している。交友関係は狭いが、つきあいはじめれば深くなる。自分もふくめて環境をあるがままに客観的にとらえようとする傾向がつよく、ものごとをキチンと把握しようとする。人情的にのめりこまず、冷たい印象を他人に与えることがあるが、自分自身について深く内省しているといえ、豊かな内面性をもつ。,33,31,35,41,32,39,45,52,49,51,45,0
327,0,２０〜２５才,女,72,54,55,54,54,53,51,53,50,57,39,43,57,46,43,58,59,48,46,53,62,52,49,52,51,50,55,54,54,50,55,64,50,49,60,57,80,100,80,80,100,100,100,80,80,80,80,80,80,100,40,60,1,Ｃ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,51,47,39,56,56,55,49,51,53,48,49,0
328,0,２０〜２５才,女,65,54,38,51,50,66,63,44,27,69,57,43,53,46,46,50,52,48,55,41,56,43,45,65,36,38,60,41,51,43,55,64,61,39,52,57,100,100,80,60,40,100,100,60,100,60,60,80,60,60,20,40,17,Ｂ,軽はずみな行動はなく、常に慎重を期して物事に対処していく人である。自分の感情を極力抑え、落ち着いた感じがする。何事に対しても自分で納得がいくまでは、簡単に受け入れるような事はない。状況の変化に対しても徹底的に調べてから次の行動へ移る。そして、自分と他人を比較して考えることはあまりなく、人には思いやりをもって接しようとする。しかし、問題が起こるといつまでも取り越し苦労するような気弱な面もある。また、仕事にも生活にも几帳面で規則正しいといった印象がある。何事も地味だが、コツコツと最後まで丹念に取り組もうとする。瞬発力はないが、持続性が本領であり取り柄でもある。しかし、一時に没頭しすぎると、それがしつこさとして映ることもある。物事の判断は、世間のきまりや秩序などを大切にしているため、常識から逸脱した行動をとることは少ない。その意見やアイデアは手堅く、あまり大きな失敗はないが、社会通念にこだわりすぎて、斬新さや柔軟性を欠き、押し付けがましさが目立つところがある。,77,50,47,64,69,48,48,52,55,62,51,0
329,0,２０〜２５才,女,58,48,55,51,42,63,63,44,32,65,54,33,40,30,49,83,57,56,66,53,59,50,57,69,39,50,64,44,51,63,68,68,65,46,52,64,80,100,80,100,80,100,100,80,80,80,80,80,100,60,40,100,13,Ａ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,75,60,55,72,71,66,49,61,59,60,56,0
330,0,２０〜２５才,男,59,51,55,54,47,53,36,61,41,73,74,52,57,50,43,50,50,48,55,24,62,50,32,32,62,65,55,33,45,55,38,57,44,46,60,61,100,100,80,60,20,100,60,20,80,60,60,80,80,80,20,100,0,Ｄ,過信せず、見通しがつくまで動かない慎重さがこの人の本質である。思いやりがあり、自分をおさえる良さがあるが、問題がおこると自罰的傾向をとり、くよくよと取り越し苦労する面も。気弱で引っ込み思案の人である。自分に自信がなく、快活な面がみられない。神経が細かく過敏な性格で、人前では緊張してかたくなりがちである。余裕がなくなると、多少不安定な行動をとる可能性もでる。一般的にはまじめで一途な人が多いが、柔軟性に欠けおおらかさがない。,36,47,49,47,41,54,45,48,45,44,37,0
331,0,２０〜２５才,男,22,54,55,43,50,59,44,44,45,50,51,50,50,50,40,58,49,40,55,41,50,52,49,46,47,38,60,51,54,43,52,54,48,46,49,47,80,80,80,80,80,80,80,80,100,100,100,100,100,80,80,80,7,Ｄ,どちらかといえば、性格的な派手さはなく地味なほうだといえる。一度はじめたことは時間がかかっても途中で投げ出すことはなく、持続させていくことができる。努力を信条としていて、自分が納得いくまで取り組まないと気がすまない性分であり、何事も徹底的に追求しようとする。そして、自分なりに確たる信念や社会通念を持っているのだが、規則や秩序に対して頑固にこだわるというほどではない。発想は堅苦しいものばかりではなく、ユニークさも持ちあわせていて、独自の価値観のもとで自発的、自主的な組立をして考え判断する。また、思い立ったらすぐ実行に移すという身軽さより、物事は自分の納得がいくまでじっくりと考えてから行動する。決して自己の世界に閉じこもり暗いという印象はなく、社会性も持ちあわせている。交友関係もほどほどにあり、考え方も現実的で自分なりに社会的アンテナも張っている。自分を深く内省していて、豊かな内面性をもっている。そして、客観的なものの見方ができ、正確に状況を把握しようとする。,50,31,35,48,46,44,46,48,52,51,50,0
332,0,２０〜２５才,男,67,48,55,58,54,63,51,41,50,65,46,50,57,50,43,50,57,61,51,47,56,63,45,50,42,44,60,58,60,60,52,64,65,42,49,61,80,100,80,100,80,80,80,60,80,80,60,80,80,80,60,60,7,Ｂ,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,61,63,64,56,65,72,55,56,58,53,51,0
333,0,２０〜２５才,女,36,54,42,39,42,69,40,53,50,57,54,33,50,42,49,70,43,44,51,47,41,50,41,55,44,41,64,44,54,43,47,61,53,39,41,44,80,80,100,80,60,80,80,80,80,60,40,40,60,80,20,40,8,Ｄ,単調な作業であっても、飽きずに長時間こなせる持続性がある。努力と忍耐をもって、目標に向かっていくといった傾向がある。一事に没頭する徹底性がみられ、人からはそれがしつこいと思われることもあるほどで、夢中になると他のことには目がいかなくなるところがある。几帳面だが、ガンコで堅物との印象もあり、社会の秩序を乱す行動は慎み、通俗的な道徳観の持ち主で、物事の判断もそれに沿ったものになる。とはいえ、規則やしきたりにこだわりすぎるというわけではなく、いつも普通の人でありたいと思う願望が常識的な行動をとらせている。また、状況を鵜呑みにせず、先が見えるまでアクションを起こさないという慎重さも本質のひとつである。感情を抑え、落ち着いた雰囲気で信頼される。しかし、問題が起こったりすると、小さなミスでもいつまでも気にかけたり、他の人はとっくに忘れてしまうような失敗を、いつまでも忘れられず悩んだりするところもある。できることだけを小さくまとめるため、思いきった積極的な行動はしない。,52,25,32,43,42,34,48,51,52,56,51,0
334,0,２０〜２５才,男,66,58,42,39,42,50,58,32,41,61,49,47,53,46,52,46,49,48,61,44,50,50,45,55,42,47,45,44,33,50,58,50,42,39,45,50,80,100,60,80,60,80,80,40,80,40,40,80,60,80,20,60,7,Ｃ,見通しがつくまで動かない慎重さが本質といえる。物事を軽率に判断したり、現実以上に高く評価するようなことも少ない。また、思いやりがあり自分を抑えるよさがあるが、なにか問題が起こると自罰的になり、いつまでもクヨクヨとしてしまう弱気なところもある。控えめな性格であり、自分にできることだけを小さく内々に表現しようとし、失敗したときのことを心配しすぎて、思いきった果敢な行動には移れない。遠慮がちではあるが、病的な暗さというほどではない。また、煩わしい人間関係はできるだけ避けていたいと考えている。どちらかといえば、周囲のことをあれこれと考えるよりも自己の世界に内閉し、その世界をより充実させたいと望み、美的な生き方をしようとしている。なんとなくつかみどころのない漂々とした生活ぶりで、空想癖があったりもする。物事をあるがままに客観的にとらえようとする傾向より、やや主観的に判断することのほうが多い。自分に自信をもち、もう少し図太さなどがあると持ち味の慎重特性がいきてくる。,64,29,30,52,56,29,48,48,50,57,48,0
335,0,２０〜２５才,女,72,54,55,54,54,53,51,53,50,57,39,43,57,46,43,58,59,48,46,53,62,52,49,52,51,50,55,54,54,50,55,64,50,49,60,57,80,100,80,80,100,100,100,80,80,80,80,80,80,100,40,60,1,Ｃ,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,51,47,39,56,56,55,49,51,53,48,49,0
336,0,２０〜２５才,男,48,51,55,51,59,48,66,50,50,65,65,43,63,53,35,53,49,65,51,34,53,55,41,62,42,62,52,54,47,46,55,61,44,46,56,54,80,60,80,100,40,100,80,60,100,60,40,80,80,80,60,80,0,Ｃ,キチンとした生活をおくっているマメな人といえる。よく努力し、手掛けたことはいつまでも長続きさせようとするが、あくまでも一つのことに執着する頑固さは少ない。また、自分らしさを主張するより、社会が自分をどうみているかなど、他人の評判を気にしている。そして、世間のきまりや常識を重視し、それにこだわり物事を判断するため、応用や融通がきかないといった結果を生んでしまう可能性もある。しかし、意見やアイデアは手堅く、あまり大きな失敗をしないことは、持ち味である。また、軽はずみなところがなく、見通しがつくまで動かないという慎重さがある。自我を極力抑え、周囲に気を配る控えめな性格で、信頼されたりもするが、小さな事でも失敗したりすると自罰的傾向をとり、クヨクヨと落ち込んでしまう気弱な面がある。そのためか、失敗をおそれるあまり、できることだけを表現しようとしたり、すぐ人の後ろにつきたがるような遠慮がちな態度になるときがある。しかし、病的な暗さはなく、手堅さや慎重さは評価できる。,58,38,35,54,57,32,53,45,45,53,39,0
337,0,２０〜２５才,男,92,75,59,36,63,36,44,35,41,61,51,43,63,50,46,36,36,22,36,28,25,25,49,50,47,47,32,41,51,28,47,35,34,46,22,21,80,80,100,100,80,20,60,80,100,80,20,80,60,80,60,60,-7,Ｅ,客観的であるにもかかわらず、その時の感情や気分などの周期性があり、特性に違いが現れる。主性格は思索性であり、空想的かつ審美的な生き方をしている。一般的にあまり感情を表にあらわさず、自分の内面の中に押し込めてしまうことが多い。世間や周囲のことでは、興味のあることと無いことをハッキリと分別させており、関心のないことに時間を費やすのなら、その分、自分の内面性を豊かにしようと考えている。物事の見方は客観的で、人情や感情にあまり左右されることはなく、常に一歩外側から観察しようとする。また、活動的な特性もそなえているが、身軽に動き回ったりするより、むしろ落ち着いているほうを好んでいる。現在の関心事以外のことや全く新しい環境に馴染むまでには、多少の時間を必要とする。また、気分性の特性がでたときは、張り切って仕事をしていたかと思えば、部屋で落ち込んだようにじっとしているときがある。情緒的にムラがあり、一つのことが長続きしない傾向があるので多少のケアーが必要かもしれない。,33,23,23,36,34,24,30,30,38,58,40,0
338,0,２０〜２５才,女,100,27,59,74,59,75,40,68,61,61,28,40,47,34,49,70,74,56,61,73,76,52,57,43,65,36,82,48,66,79,55,73,79,59,64,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,100,5,Ａ,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,55,80,66,68,58,82,54,72,72,38,62,0
339,0,２０〜２５才,男,62,48,55,54,33,72,55,41,23,65,46,52,53,42,43,50,64,70,82,56,50,67,61,55,50,36,64,65,57,70,64,73,57,49,52,64,100,100,100,100,80,100,100,60,40,40,80,60,60,100,100,60,22,Ａ,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,80,72,70,73,73,74,59,63,65,56,61,0
340,0,２０〜２５才,女,51,65,42,33,47,33,51,48,37,61,57,50,47,38,32,70,44,44,36,47,50,36,49,52,50,59,49,41,47,33,44,43,44,42,49,39,80,60,80,80,60,60,60,80,80,80,80,80,80,60,20,60,0,Ｅ,周囲の雑音をあまり気にせず、ときに時間を忘れたように何かを空想しているような傾向が見られる。内面的な世界の中で自己表現をすることで、喜びを感じているようである。そして、自らが進んで行動することは少ないものの、情報の収集のためのアンテナは用意している。物事の把握のしかたは客観的であり、結果と経過の両方を大切にする。自分自身についても深く内省していて、客体化した態度をとろうとする。そのためか、人から見ると本音がわかりづらいという印象があり、多少、冷たい感じを受けることがあるが、実のところ、思いやりや自分の感情を抑える良さがあり、豊かな内面性をそなえている。また、明確な見通しがつくまで動かないという慎重なところもある。しかし、その慎重性は、自分の理想があるのに対して、無理のないところで妥協してしまうこともあり、善し悪しというところである。大きな失敗をしないことはひとつの取り柄ではあるが、あれこれと考えすぎる前に、もう少し思いきった行動をとるような姿勢がほしい。,32,13,22,38,26,16,42,44,40,54,46,0
341,0,２０〜２５才,男,84,68,55,26,68,20,40,50,61,50,46,40,57,42,40,62,30,26,21,31,41,32,27,32,51,41,49,37,39,41,31,27,23,49,41,21,20,60,20,20,60,60,20,20,60,60,60,60,60,60,40,60,-30,Ｅ,客観的であるにもかかわらず、その時の感情や気分などの周期性があり、特性に違いが現れる。主性格は思索性であり、空想的かつ審美的な生き方をしている。一般的にあまり感情を表にあらわさず、自分の内面の中に押し込めてしまうことが多い。世間や周囲のことでは、興味のあることと無いことをハッキリと分別させており、関心のないことに時間を費やすのなら、その分、自分の内面性を豊かにしようと考えている。物事の見方は客観的で、人情や感情にあまり左右されることはなく、常に一歩外側から観察しようとする。また、活動的な特性もそなえているが、身軽に動き回ったりするより、むしろ落ち着いているほうを好んでいる。現在の関心事以外のことや全く新しい環境に馴染むまでには、多少の時間を必要とする。また、気分性の特性がでたときは、張り切って仕事をしていたかと思えば、部屋で落ち込んだようにじっとしているときがある。情緒的にムラがあり、一つのことが長続きしない傾向があるので多少のケアーが必要かもしれない。,18,14,13,29,20,22,34,32,29,46,34,0
342,0,２０〜２５才,女,61,61,47,39,50,63,36,48,50,73,59,29,57,42,35,83,49,44,55,41,50,47,45,43,54,47,64,37,50,46,50,50,53,52,45,47,100,100,80,80,60,80,80,60,80,60,60,80,80,60,40,80,3,Ｄ,時期尚早なことは決してせず、あくまでも機が熟すのを待つような慎重さがある。自分の感情を抑えるよさがあり、人に対する気配りもみられる。しかし、他人の思惑を考えすぎたり、行動する前から問題が起こることを予測するような気の弱さを表に出すことがあり、そうしたことも見方によっては、自信のなさからきているものだと誤解をまねくことがある。もともと、過敏な神経の持ち主であり、大勢の人の集まる場所では、緊張のため快活に振舞えなくなることがある。持っている冷静さを失うと、不安定な行動をとる可能性もある。一般的に真面目で一途な人に多いが、もう少し精神的に余裕をもてるような、おおらかさがほしい。また、任されたことは単純な作業であっても、飽きずに長時間こなせる持続性がある。通常は何事もコツコツと丹念に取り組むほうで、生活ぶりも規則正しく、几帳面である。努力を信条とし、いつまでも走り続ける長距離ランナー型といえる。しかし、一時に没頭しすぎるきらいがあり、しつこさとして映ることもある。,45,30,28,56,36,39,44,50,52,48,48,0
343,0,２０〜２５才,女,61,54,59,43,29,63,66,32,45,85,62,47,53,53,35,66,46,65,66,41,56,47,57,65,33,51,55,44,39,63,64,68,42,39,52,57,60,100,100,100,80,80,100,60,80,60,40,100,100,80,20,60,13,Ｂ,軽はずみな行動はなく、常に慎重を期して物事に対処していく人である。自分の感情を極力抑え、落ち着いた感じがする。何事に対しても自分で納得がいくまでは、簡単に受け入れるような事はない。状況の変化に対しても徹底的に調べてから次の行動へ移る。そして、自分と他人を比較して考えることはあまりなく、人には思いやりをもって接しようとする。しかし、問題が起こるといつまでも取り越し苦労するような気弱な面もある。また、仕事にも生活にも几帳面で規則正しいといった印象がある。何事も地味だが、コツコツと最後まで丹念に取り組もうとする。瞬発力はないが、持続性が本領であり取り柄でもある。しかし、一時に没頭しすぎると、それがしつこさとして映ることもある。物事の判断は、世間のきまりや秩序などを大切にしているため、常識から逸脱した行動をとることは少ない。その意見やアイデアは手堅く、あまり大きな失敗はないが、社会通念にこだわりすぎて、斬新さや柔軟性を欠き、押し付けがましさが目立つところがある。,69,45,43,67,65,54,48,54,51,59,52,0
